BoardGameId;Rank;ImageSource;Title;ReleaseYear;Description;GeekRating;AvgerageRating;NumVoters;DistributorPrice
1;66;Android_Netrunner.jpg;Android: Netrunner;2012;Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.;7664;7.87;28084;44.99
2;17;Ark_Nova.jpg;Ark Nova;2021;Design a modern zoo to run a successful park and to support conservation projects.;7989;8.70;6948;74.99
3;94;The_Lord_of_the_Rings_Journeys_in_Middle-Earth.jpg;The Lord of the Rings: Journeys in Middle-Earth;2019;Heroes explore Middle-earth, working together to combat evil in an epic campaign.;7544;7.99;12218;82.00
4;57;The_Quacks_of_Quedlinburg.png;The Quacks of Quedlinburg;2018;Pull ingredients from your stock to make your pot bubble, but hopefully not explode!;7693;7.85;33092;49.99
5;53;Le_Havre.jpg;Le Havre;2008;Establish a supply chain by collecting resources, building industries, and shipping.;7711;7.87;28677;40.00
6;36;Caverna_The_Cave_Farmers.jpg;Caverna: The Cave Farmers;2013;From a simple cave, expand your dwarven home through mining, agriculture, and more.;7817;8.00;30512;55.99
7;14;Scythe.jpg;Scythe;2016;Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.;8056;8.21;67760;105.00
8;33;Mage_Knight_Board_Game.jpg;Mage Knight Board Game;2011;Build your hero?s spells, abilities, and artifacts as you explore & conquer cities.;7871;8.09;30030;50.00
9;6;Twilight_Imperium_Fourth_Edition.jpg;Twilight Imperium: Fourth Edition;2017;Build an intergalactic empire through trade, research, conquest and grand politics.;8256;8.66;17130;149.95
10;91;Troyes.jpg;Troyes;2010;Defend the city and rise to power by influencing the merchants, knights and clergy.;7546;7.74;20768;30.00
11;32;Lost_Ruins_of_Arnak.jpg;Lost Ruins of Arnak;2020;Explore an island to find resources and discover the lost ruins of Arnak.;7872;8.12;22361;59.95
12;69;Race_for_the_Galaxy.jpg;Race for the Galaxy;2007;Worlds await! Colonize, develop and conquer taking advantage of others' choices.;7.65;7.76;49973;24.00
13;58;The_7th_Continent.jpg;The 7th Continent;2017;Journey through a vibrant but deadly land to uncover the key to lifting your curse.;7691;8.00;19553;70.00
14;21;Concordia.jpg;Concordia;2013;Traders compete to build the greatest empire in the Roman Mediterranean.;7966;8.12;32987;30.00
15;45;Pandemic_Legacy_Season_2.jpg;Pandemic Legacy: Season 2;2017;The world is a mystery after a devastating pandemic?where will your team go?;7774;8.09;14271;79.99
16;43;Maracaibo.jpg;Maracaibo;2019;Seafarers journey to obtain wealth and fame in the 17th century Caribbean.;7781;8.17;11747;74.99
17;38;Too_Many_Bones.png;Too Many Bones;2017;Toss gobs of unique dice in an epic adventure en route to a final boss showdown.;7808;8.42;8483;199.99
18;40;Barrage.png;Barrage;2019;Nations vie for hydroelectric dominance in a dystopia where water is power.;7803;8.23;10617;89.99
19;20;Brass_Lancashire.jpg;Brass: Lancashire;2007;Test your economic mettle as you build and network in the Industrial Revolution.;7966;8.19;21497;79.99
20;55;Mechs_vs._Minions.jpg;Mechs vs. Minions;2016;Cooperatively program and pilot your mechs to defeat an army of marauding minions.;7709;8.01;15552;110.00
21;1;Gloomhaven.jpg;Gloomhaven;2017;Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!;8491;8.72;50144;120.00
22;60;Lisboa.jpg;Lisboa;2017;Compete to reconstruct the city of Lisboa after the great earthquake of 1755.;7687;8.20;8335;125.99
23;65;Pandemic_Legacy_Season_0.jpg;Pandemic Legacy: Season 0;2020;Work together during the Cold War to prevent a Soviet bio-threat.;7666;8.59;4370;49.95
24;64;Paladins_of_the_West_Kingdom.png;Paladins of the West Kingdom;2019;Invaders are coming from everywhere.  Keep the faith and defend your homeland.;7669;8.03;12333;60.00
